Bigrams,Frequencies
"('battery', 'life')",51
"('highly', 'recommend')",35
"('love', 'love')",18
"('heart', 'rate')",17
"('fits', 'perfectly')",12
"('wife', 'loves')",10
"('works', 'great')",32
"('great', 'price')",13
"('upgraded', 'series')",11
"('love', 'series')",10
"('absolutely', 'love')",14
"('great', 'love')",17
"('great', 'product')",17
